ICE-R https://github.com/spablotemporal/ICE-R
dampack https://github.com/DARTH-git/dampack
simpleMCM https://github.com/Phillia/SimpleMCM
dampack https://github.com/feralaes/dampack
vandet https://github.com/n8thangreen/VANTDET
cedecisiontree https://github.com/Health-Economics-in-R/Cedecisiontree
ceplot https://github.com/Health-Economics-in-R/ceplot
qaly https://github.com/Health-Economics-in-R/QAL
covid_cea https://github.com/Bogdasayen/covid_cea
heromod2 https://github.com/jrdnmdhl/heRomod2
schizo-model https://github.com/lubingas/Schizo-Model
dcurve https://github.com/ddsjoberg/dcurves
descem https://github.com/Roche/descem
dcea https://github.com/miqdadasaria/DCEA
aldvmm https://github.com/pletschm/aldvmm
hedtree https://github.com/petedodd/Hedtree
tuu https://github.com/ready4-dev/TTU
psa-red https://github.com/joostgeenen/PSA-ReD
dalycalculator https://github.com/TuftsCEVR/DALYcalculator
ceact https://github.com/ielbadisy/CEACT
rrapidmarkov https://github.com/EdCFWilson/rrapidmarkov
hervis https://github.com/dark-peak-analytics/heRvis
survHE https://github.com/giabaio/survHE
survHEhmc https://github.com/giabaio/survHEhmc
IVI-RA https://github.com/InnovationValueInitiative/IVI-RA
rpsftmPlus https://github.com/Roche/rpsftmPlus
survdigitzerR https://github.com/Pechli-Lab/SurvdigitizeR
maic https://github.com/Roche/MAIC
flexsurvPlus https://github.com/Roche/flexsurvPlus
gemtc https://github.com/Roche/gemtcPlus
youthu https://github.com/ready4-dev/youthu
bimp https://github.com/ready4-dev/bimp
